ids,times,stars,previews,likes
安蓝·怪伯爵𓆝𓆟𓆜,2020-10-12 18:13:12,20,一帮人聚一起喊着演员请就位，咱到底是来拼演技还是耍心眼子的？演员没天赋，没演技可以告诉他鞭策他调教他，这些都好说，但让人没法接受的是所谓导师在那儿胡咧咧，郭敬明差不多就得了啊！这不是你家炕头儿。大鹏您有金刚钻儿吗就拦瓷器活儿。李诚儒请继续硬怼！别留情面！舒适！,7,
LeungChanXXX,2020-11-17 17:13:53,20,越看越塑料...这都尬捧些什么奇怪的流量鲜肉啊，节目组爆炸//以为看完第七期已经够恶心了，第八期呕呕呕,4,
超宅溜,2020-10-11 01:08:02,20,就冲郭敬明发的鼓励s卡，这节目就只值两星。郭敬明真是前后矛盾，前头说不会找他拍戏对观众负责，一会又说要合作，真是能言善辩，各种偷换概念，既然这么个人主观，作为普通观众，能做的就是避开郭敬明所参与的电影。这不是看演技的节目，是非诚勿扰选妃记，这节目真的很现实，资本裹挟一切，最可乐甄嬛传和陈情令，毫无演技还都晋级了，真是辣鸡节目，不看了，看不下去,14,
麦芽儿,2020-10-11 18:03:36,10,郭敬明就是这个节目最大的败笔，一个随意发放的s卡败光所有的好感，更拉低了节目的层次。我们需要更多的李诚儒。,12,
我,2020-10-10 23:48:11,20,一个演员节目，发s卡的标准竟然不是演技，甚至可以说没有演技也能拿到，那这节目的意义在哪里,16,
我有一座3,2020-10-25 02:10:51,20,只打两星还都只是给李诚儒老师的导演互相抱大腿不带脏字长篇大论的阴阳怪气的陈凯歌真是吐了,12,
Lolliste,2020-10-03 00:28:08,10,真的糟蹋演员两个字,14,
K,2020-10-11 01:30:09,10,一阵阵犯恶心。已是完全意义上的市场决定和资本游戏，评价标准被牢牢掌控在资本大鳄手中，无法撼动分毫。表演艺术被所谓“演技”取代，谁还在乎表演艺术，谁就彻底失败。把艺术完全交由市场，劣币驱良币就成为必然。从这节目能看到，中国的变化不仅是剧烈的，而且是彻底的，根本的。,13,
陈蹦跶,2020-11-04 14:19:14,10,看似郭敬明最烦人实则最蔫儿坏最小肚鸡肠还没有水平的人是陈凯歌！还有大鹏这样见风使舵的狗腿子,9,
豆友206706603,2020-11-23 01:19:53,10,Ｆ调幻想曲得最高分？我可去你的吧，喂观众吃屎,10,
punch and judy,2020-10-31 22:36:11,10,看了几个片段，被雷的体无完肤。cuv怎么做到的？长时间保持一个表情，只有嘴在叭叭叭叭叭。孙千真的应该感谢陈，她演的也挺烂的，台词一惊一乍语气奇奇怪怪节奏差得过分，停顿转折也很突兀，把聪明冷静深情的甄嬛演成了一个唯唯诺诺不自信恋爱脑女人。不过在陈宥维来势汹汹的喜剧大师般的演技衬托下已经没有什么人嘴她了。陈宥维，真有你的👍最后想说，演员演不好观众不能笑了？难怪现在大摇大摆给观众喂💩,10,
今天杀人了没,2020-10-02 22:13:04,50,太刺激了，新赛制也相当真实了,13,
桃子汽水,2020-10-03 09:08:48,40,我好喜欢看尔冬升批评“小鲜肉”和张大大这种无事就煽情的人,19,
一场好梦Zzz,2020-10-10 21:29:47,50,请立即开个李诚儒评价演技的节目太刺激,12,
那就叫可爱多叭,2020-10-13 10:04:00,10,郭敬明太讨厌了，大鹏也是。本来就是凭实力竞争的地方，在座谁不是潜力无限。现在连新人都算是大优点了？本来觉得还挺好看的，连公平都没了还有什么好看的，弃了。,13,
荒岛,2020-10-25 12:51:02,10,唱得不行跳得不行演得不行关键还他妈长得不行的那些臭鱼烂虾选秀男团成员能不能去死，红不了就是红不了。导演抱团真他妈恶心吐了。郭敬明虽然不配做导演，但起码还能说一点真话。李成儒老师下次别来了，这节目不值得。陈凯歌是真的傻逼！大鹏做主持人也是真他妈傻逼。,14,
爆米花教主,2020-10-24 22:54:02,10,不明白张铭恩这种劣迹艺人为何还能上综艺,7,
Oooasis,2020-11-02 11:08:56,10,陈宥维演成这样都能过？,11,
